		Structural Health Monitor
	 TIMESTAMP 	 ACCx 	ACCy 	ACCz 	  BAT 	 HUM 	 TEMP 	 MAS 	 RLE 
200/1/6 17:17:32	-4.35	-4.51	2.43	211.00	81.00	30.00	5272	5344
200/1/6 17:17:37	-4.43	-4.51	2.51	212.00	81.00	30.00	5268	5336
200/1/6 17:17:41	-4.39	-4.55	2.55	212.00	81.00	30.00	5264	5340
200/1/6 17:17:46	-4.31	-4.55	2.51	212.00	81.00	30.00	5284	7280
200/1/6 17:17:50	-4.39	-4.55	2.51	212.00	81.00	30.00	5284	5336
200/1/6 17:17:55	-4.35	-4.51	2.51	212.00	81.00	30.00	5284	7288
200/1/6 17:17:59	-4.35	-4.43	2.47	212.00	81.00	30.00	5272	5348
200/1/6 17:18:4		-4.35	-4.47	2.55	211.00	81.00	30.00	5276	5336
200/1/6 17:18:9		-4.35	-4.51	2.51	211.00	81.00	30.00	5280	5332
200/1/6 17:18:13	-4.31	-4.51	2.51	212.00	81.00	30.00	5272	9236
200/1/6 17:18:18	-4.43	-4.47	2.51	212.00	81.00	30.00	5276	5352
200/1/6 17:18:22	-4.39	-4.51	2.47	212.00	81.00	30.00	5284	5340
200/1/6 17:18:27	-4.47	-4.47	2.55	212.00	81.00	30.00	5280	5340
200/1/6 17:18:31	-4.39	-4.51	2.51	211.00	81.00	30.00	5280	5348
200/1/6 17:18:36	-4.28	-4.59	2.63	212.00	81.00	30.00	9156	5332
200/1/6 17:18:41	-4.39	-4.47	2.55	212.00	81.00	30.00	5280	5332
200/1/6 17:18:45	-4.47	-4.47	2.55	213.00	81.00	30.00	5264	5340
200/1/6 17:18:50	-4.39	-4.51	2.51	213.00	81.00	30.00	5272	5344
200/1/6 17:18:54	-4.39	-4.59	2.59	214.00	81.00	30.00	5288	5340
200/1/6 17:18:59	-4.43	-4.55	2.59	213.00	81.00	30.00	9200	5356
200/1/6 17:19:3		-4.39	-4.51	2.51	215.00	81.00	30.00	5296	7280
200/1/6 17:19:8		-4.35	-4.55	2.47	215.00	81.00	30.00	5288	5344
200/1/6 17:19:13	-4.31	-4.55	2.51	215.00	81.00	30.00	5284	5340
200/1/6 17:19:17	-4.39	-4.51	2.55	215.00	81.00	30.00	5288	5340
200/1/6 17:19:22	-2.79	-4.86	7.02	215.00	80.00	30.00	5264	5352
200/1/6 17:19:26	-4.35	-4.47	2.47	216.00	81.00	30.00	5284	7268
200/1/6 17:19:31	-4.39	-4.47	2.51	218.00	81.00	30.00	5280	5344
200/1/6 17:19:35	-4.31	-4.55	2.47	218.00	81.00	30.00	5276	5336
200/1/6 17:19:40	-4.39	-4.43	2.55	218.00	81.00	30.00	5268	5344
200/1/6 17:19:44	-4.35	-4.51	2.47	219.00	81.00	30.00	5280	5344
200/1/6 17:19:49	-4.35	-4.51	2.51	218.00	81.00	30.00	7228	5332
200/1/6 17:19:54	-4.35	-4.47	2.51	218.00	81.00	30.00	5288	5332
200/1/6 17:19:58	-4.35	-4.47	2.59	216.00	81.00	30.00	5268	5352
200/1/6 17:20:3		-4.39	-4.47	2.59	216.00	81.00	30.00	5276	5348
200/1/6 17:20:7		-4.39	-4.51	2.59	216.00	81.00	30.00	5276	5352
200/1/6 17:20:12	-4.39	-4.51	2.59	216.00	81.00	30.00	5268	5340
200/1/6 17:20:16	-4.35	-4.51	2.51	214.00	81.00	30.00	5284	5340
200/1/6 17:20:21	-4.31	-4.55	2.51	217.00	81.00	30.00	5280	5328
200/1/6 17:20:26	-4.39	-4.39	2.55	216.00	81.00	30.00	5280	5348
200/1/6 17:20:30	-4.35	-4.47	2.63	216.00	81.00	30.00	5284	5340
200/1/6 17:20:35	-4.31	-4.51	2.59	214.00	80.00	30.00	5264	5344
200/1/6 17:20:39	-4.31	-4.43	2.55	217.00	80.00	30.00	5268	5352
200/1/6 17:20:44	-4.39	-4.51	2.59	218.00	81.00	30.00	5264	5348
200/1/6 17:20:48	-4.39	-4.55	2.67	218.00	81.00	30.00	5268	5340
200/1/6 17:20:53	-4.31	-4.47	2.63	218.00	81.00	30.00	5280	5340
200/1/6 17:20:58	-4.39	-4.51	2.51	217.00	81.00	30.00	5280	5324
200/1/6 17:21:2		-4.39	-4.47	2.55	218.00	81.00	30.00	5280	5344
200/1/6 17:21:7		-4.39	-4.51	2.51	218.00	81.00	30.00	5284	5344
200/1/6 17:21:11	-4.39	-4.51	2.59	218.00	81.00	30.00	5280	5320
200/1/6 17:21:16	-4.35	-4.47	2.51	217.00	80.00	30.00	5276	5340
200/1/6 17:21:20	-4.39	-4.55	2.67	217.00	81.00	30.00	5288	5328
200/1/6 17:21:25	-4.35	-4.47	2.55	217.00	81.00	30.00	7232	5328
200/1/6 17:21:30	-4.39	-4.47	2.55	218.00	81.00	30.00	5284	5332
200/1/6 17:21:34	-4.31	-4.43	2.63	216.00	81.00	30.00	5280	5356
200/1/6 17:21:39	-4.35	-4.55	2.55	218.00	80.00	30.00	5284	5332
200/1/6 17:21:43	-4.35	-4.51	2.55	217.00	81.00	30.00	5284	5344
200/1/6 17:21:48	-4.39	-4.51	2.59	218.00	81.00	30.00	5284	5336
200/1/6 17:21:52	-4.39	-4.51	2.55	218.00	81.00	30.00	7224	5336
200/1/6 17:21:57	-4.39	-4.55	2.51	218.00	81.00	30.00	5284	5344
200/1/6 17:22:1		-4.43	-4.47	2.59	218.00	81.00	30.00	5284	5348
200/1/6 17:22:6		-4.43	-4.47	2.51	219.00	81.00	30.00	5284	5328
200/1/6 17:22:11	-4.39	-4.55	2.59	218.00	81.00	30.00	5284	5340
200/1/6 17:22:15	-4.39	-4.55	2.55	217.00	81.00	30.00	7228	5344
200/1/6 17:22:20	-4.35	-4.55	2.51	218.00	81.00	30.00	5288	5336
200/1/6 17:22:24	-4.35	-4.51	2.51	219.00	81.00	30.00	5280	5348
200/1/6 17:22:29	-4.39	-4.51	2.51	218.00	81.00	30.00	7228	5332
200/1/6 17:22:33	-4.39	-4.51	2.55	219.00	81.00	30.00	5276	5340
200/1/6 17:22:38	-4.35	-4.43	2.47	219.00	81.00	30.00	7228	5340
200/1/6 17:22:43	-4.31	-4.47	2.47	219.00	81.00	30.00	5280	7288
